id, name, group, country, brand, color,thickness, width, length, priceEURO, weight, ultra
97,"МПК Standart - 15 років прозорий 5,40 мм",МПК,Сербія,Standart - 15 років,прозорий,"5,40","2050,00","3050,00","56,98","6,48",FALSE
98,"МПК Standart - 15 років прозорий 7,20 мм",МПК,Сербія,Standart - 15 років,прозорий,"7,20","2050,00","3050,00","75,97","8,64",FALSE
99,"МПК Standart - 15 років прозорий 9,00 мм",МПК,Сербія,Standart - 15 років,прозорий,"9,00","2050,00","3050,00","94,97","10,80",FALSE
100,"МПК Standart - 15 років прозорий 10,80 мм",МПК,Сербія,Standart - 15 років,прозорий,"10,80","2050,00","3050,00","113,96","12,96",FALSE
101,"МПК Standart - 15 років кольоровий 1,80 мм",МПК,Сербія,Standart - 15 років,кольоровий,"1,80","2050,00","3050,00","19,94","2,16",FALSE
102,"МПК Standart - 15 років кольоровий 2,70 мм",МПК,Сербія,Standart - 15 років,кольоровий,"2,70","2050,00","3050,00","29,91","3,24",FALSE
103,"МПК Standart - 15 років кольоровий 3,60 мм",МПК,Сербія,Standart - 15 років,кольоровий,"3,60","2050,00","3050,00","39,89","4,32",FALSE
104,"МПК Standart - 15 років кольоровий 4,50 мм",МПК,Сербія,Standart - 15 років,кольоровий,"4,50","2050,00","3050,00","49,86","5,40",FALSE
105,"МПК Standart - 15 років кольоровий 5,40 мм",МПК,Сербія,Standart - 15 років,кольоровий,"5,40","2050,00","3050,00","59,83","6,48",FALSE
106,"МПК Standart - 15 років кольоровий 7,20 мм",МПК,Сербія,Standart - 15 років,кольоровий,"7,20","2050,00","3050,00","79,77","8,64",FALSE
107,"МПК Standart - 15 років кольоровий 9,00 мм",МПК,Сербія,Standart - 15 років,кольоровий,"9,00","2050,00","3050,00","99,72","10,80",FALSE
108,"МПК Standart - 15 років кольоровий 10,80 мм",МПК,Сербія,Standart - 15 років,кольоровий,"10,80","2050,00","3050,00","119,66","12,96",FALSE
109,"МПК Premium - 15 років прозорий 1,90 мм",МПК,Сербія,Premium - 15 років,прозорий,"1,90","2050,00","3050,00","20,05","2,28",FALSE
110,"МПК Premium - 15 років прозорий 2,85 мм",МПК,Сербія,Premium - 15 років,прозорий,"2,85","2050,00","3050,00","30,07","3,42",FALSE
111,"МПК Premium - 15 років прозорий 3,80 мм",МПК,Сербія,Premium - 15 років,прозорий,"3,80","2050,00","3050,00","40,10","4,56",FALSE
112,"МПК Premium - 15 років прозорий 4,80 мм",МПК,Сербія,Premium - 15 років,прозорий,"4,80","2050,00","3050,00","50,12","5,70",FALSE
113,"МПК Premium - 15 років прозорий 5,70 мм",МПК,Сербія,Premium - 15 років,прозорий,"5,70","2050,00","3050,00","60,15","6,84",FALSE
114,"МПК Premium - 15 років прозорий 7,60 мм",МПК,Сербія,Premium - 15 років,прозорий,"7,60","2050,00","3050,00","80,20","9,12",FALSE
115,"МПК Premium - 15 років прозорий 9,50 мм",МПК,Сербія,Premium - 15 років,прозорий,"9,50","2050,00","3050,00","100,24","11,40",FALSE
116,"МПК Premium - 15 років прозорий 11,40 мм",МПК,Сербія,Premium - 15 років,прозорий,"11,40","2050,00","3050,00","120,29","13,68",FALSE
117,"МПК Premium - 15 років кольоровий 1,90 мм",МПК,Сербія,Premium - 15 років,кольоровий,"1,90","2050,00","3050,00","21,05","2,28",FALSE
118,"МПК Premium - 15 років кольоровий 2,85 мм",МПК,Сербія,Premium - 15 років,кольоровий,"2,85","2050,00","3050,00","31,58","3,42",FALSE
119,"МПК Premium - 15 років кольоровий 3,80 мм",МПК,Сербія,Premium - 15 років,кольоровий,"3,80","2050,00","3050,00","42,10","4,56",FALSE
120,"МПК Premium - 15 років кольоровий 4,80 мм",МПК,Сербія,Premium - 15 років,кольоровий,"4,80","2050,00","3050,00","46,04","5,70",FALSE
121,"МПК Premium - 15 років кольоровий 5,70 мм",МПК,Сербія,Premium - 15 років,кольоровий,"5,70","2050,00","3050,00","63,15","6,84",FALSE
122,"МПК Premium - 15 років кольоровий 7,60 мм",МПК,Сербія,Premium - 15 років,кольоровий,"7,60","2050,00","3050,00","84,20","9,12",FALSE
123,"МПК Premium - 15 років кольоровий 9,50 мм",МПК,Сербія,Premium - 15 років,кольоровий,"9,50","2050,00","3050,00","105,26","11,40",FALSE
124,"МПК Premium - 15 років кольоровий 11,40 мм",МПК,Сербія,Premium - 15 років,кольоровий,"11,40","2050,00","3050,00","126,31","13,68",FALSE
125,"МПК Terner Plast Elite прозорий 2,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"2,00","2050,00","3050,00","21,10","2,40",FALSE
126,"МПК Terner Plast Elite прозорий 2,75 мм",МПК,Сербія,Terner Plast Elite,прозорий,"2,75","2050,00","3050,00","29,02","3,30",FALSE
127,"МПК Terner Plast Elite прозорий 3,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"3,00","2050,00","3050,00","31,66","3,60",FALSE
128,"МПК Terner Plast Elite прозорий 3,75 мм",МПК,Сербія,Terner Plast Elite,прозорий,"3,75","2050,00","3050,00","39,57","4,50",FALSE
129,"МПК Terner Plast Elite прозорий 4,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"4,00","2050,00","3050,00","42,21","4,80",FALSE
130,"МПК Terner Plast Elite прозорий 5,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"5,00","2050,00","3050,00","52,76","6,00",FALSE
131,"МПК Terner Plast Elite прозорий 6,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"6,00","2050,00","3050,00","63,31","7,20",FALSE
132,"МПК Terner Plast Elite прозорий 8,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"8,00","2050,00","3050,00","84,42","9,60",FALSE
133,"МПК Terner Plast Elite прозорий 10,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"10,00","2050,00","3050,00","105,52","12,00",FALSE
134,"МПК Terner Plast Elite прозорий 12,00 мм",МПК,Сербія,Terner Plast Elite,прозорий,"12,00","2050,00","3050,00","126,62","14,40",FALSE
135,"МПК Terner Plast Elite кольоровий 2,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"2,00","2050,00","3050,00","22,16","2,40",FALSE
136,"МПК Terner Plast Elite кольоровий 2,75 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"2,75","2050,00","3050,00","30,47","3,30",FALSE
137,"МПК Terner Plast Elite кольоровий 3,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"3,00","2050,00","3050,00","33,24","3,60",FALSE
138,"МПК Terner Plast Elite кольоровий 3,75 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"3,75","2050,00","3050,00","41,55","4,50",FALSE
139,"МПК Terner Plast Elite кольоровий 4,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"4,00","2050,00","3050,00","44,32","4,80",FALSE
140,"МПК Terner Plast Elite кольоровий 5,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"5,00","2050,00","3050,00","55,40","6,00",FALSE
141,"МПК Terner Plast Elite кольоровий 6,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"6,00","2050,00","3050,00","66,48","7,20",FALSE
142,"МПК Terner Plast Elite кольоровий 8,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"8,00","2050,00","3050,00","88,64","9,60",FALSE
143,"МПК Terner Plast Elite кольоровий 10,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"10,00","2050,00","3050,00","110,80","12,00",FALSE
144,"МПК Terner Plast Elite кольоровий 12,00 мм",МПК,Сербія,Terner Plast Elite,кольоровий,"12,00","2050,00","3050,00","132,95","14,40",FALSE
145,"Акрил NUDEC прозорий 1,50 мм",Акрил,Іспанія,NUDEC,прозорий,"1,50","2050,00","3050,00","18,01","1,79",FALSE
146,"Акрил NUDEC прозорий 1,80 мм",Акрил,Іспанія,NUDEC,прозорий,"1,80","2050,00","3050,00","20,03","2,14",FALSE
147,"Акрил NUDEC прозорий 2,00 мм",Акрил,Іспанія,NUDEC,прозорий,"2,00","2050,00","3050,00","22,27","2,38",FALSE
148,"Акрил NUDEC прозорий 2,60 мм",Акрил,Іспанія,NUDEC,прозорий,"2,60","2050,00","3050,00","28,92","3,09",FALSE
149,"Акрил NUDEC прозорий 3,00 мм",Акрил,Іспанія,NUDEC,прозорий,"3,00","2050,00","3050,00","33,41","3,57",FALSE
150,"Акрил NUDEC прозорий 3,60 мм",Акрил,Іспанія,NUDEC,прозорий,"3,60","2050,00","3050,00","40,05","4,28",FALSE
151,"Акрил NUDEC прозорий 4,00 мм",Акрил,Іспанія,NUDEC,прозорий,"4,00","2050,00","3050,00","44,55","4,76",FALSE
152,"Акрил NUDEC прозорий 5,00 мм",Акрил,Іспанія,NUDEC,прозорий,"5,00","2050,00","3050,00","55,68","5,95",FALSE
153,"Акрил NUDEC прозорий 6,00 мм",Акрил,Іспанія,NUDEC,прозорий,"6,00","2050,00","3050,00","66,82","7,14",FALSE
154,"Акрил NUDEC прозорий 8,00 мм",Акрил,Іспанія,NUDEC,прозорий,"8,00","2050,00","3050,00","89,09","9,52",FALSE
155,"Акрил NUDEC прозорий 10,00 мм",Акрил,Іспанія,NUDEC,прозорий,"10,00","2050,00","3050,00","111,36","11,90",FALSE
156,"Акрил NUDEC прозорий 12,00 мм",Акрил,Іспанія,NUDEC,прозорий,"12,00","2050,00","3050,00","133,64","14,28",FALSE
157,"Акрил NUDEC прозорий 15,00 мм",Акрил,Іспанія,NUDEC,прозорий,"15,00","2050,00","3050,00","167,05","17,85",FALSE
158,"Акрил NUDEC кольоровий 1,50 мм",Акрил,Іспанія,NUDEC,кольоровий,"1,50","2050,00","3050,00","18,91","1,79",FALSE
159,"Акрил NUDEC кольоровий 1,80 мм",Акрил,Іспанія,NUDEC,кольоровий,"1,80","2050,00","3050,00","21,03","2,14",FALSE
160,"Акрил NUDEC кольоровий 2,00 мм",Акрил,Іспанія,NUDEC,кольоровий,"2,00","2050,00","3050,00","23,39","2,38",FALSE
161,"Акрил NUDEC кольоровий 2,70 мм",Акрил,Іспанія,NUDEC,кольоровий,"2,70","2050,00","3050,00","30,36","3,21",FALSE
162,"Акрил NUDEC кольоровий 3,00 мм",Акрил,Іспанія,NUDEC,кольоровий,"3,00","2050,00","3050,00","35,08","3,57",FALSE
163,"Акрил NUDEC кольоровий 3,60 мм",Акрил,Іспанія,NUDEC,кольоровий,"3,60","2050,00","3050,00","42,06","4,28",FALSE
164,"Акрил NUDEC кольоровий 4,00 мм",Акрил,Іспанія,NUDEC,кольоровий,"4,00","2050,00","3050,00","46,77","4,76",FALSE
